series_id,game_id,game_number,year,date,patch,side,team,champion,pick_index,champion_games_before,champion_wins_before,champion_win_rate_before,champion_season_games_before,champion_season_wins_before,champion_season_win_rate_before,champion_patch_games_before,champion_patch_wins_before,champion_patch_win_rate_before,team_champion_games_before,team_champion_wins_before,team_champion_win_rate_before,picked_side_won
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,BLUE,KT Rolster,Jax,2,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,BLUE,KT Rolster,Azir,3,0,0,,0,0,,0,0,,0,0,,1
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,BLUE,KT Rolster,Jinx,4,0,0,,0,0,,0,0,,0,0,,1
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,BLUE,KT Rolster,Lulu,5,0,0,,0,0,,0,0,,0,0,,1
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,RED,BNK FEARX,Ambessa,1,2,2,1.0,2,2,1.0,2,2,1.0,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,RED,BNK FEARX,Rakan,2,2,1,0.5,2,1,0.5,2,1,0.5,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,RED,BNK FEARX,Xayah,3,2,1,0.5,2,1,0.5,2,1,0.5,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,RED,BNK FEARX,Akali,4,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184105,3,2025,2025-01-16 09:54:20+00:00,15.01,RED,BNK FEARX,Jarvan IV,5,0,0,,0,0,,0,0,,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,BLUE,Dplus Kia,Nidalee,1,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,BLUE,Dplus Kia,Ezreal,2,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,BLUE,Dplus Kia,Leona,3,2,0,0.0,2,0,0.0,2,0,0.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,BLUE,Dplus Kia,Ambessa,4,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,BLUE,Dplus Kia,Jayce,5,3,0,0.0,3,0,0.0,3,0,0.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,RED,T1,Ashe,1,2,2,1.0,2,2,1.0,2,2,1.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,RED,T1,Zyra,2,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,RED,T1,Yone,3,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,RED,T1,Rell,4,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185025,1,2025,2025-01-16 11:11:06+00:00,15.01,RED,T1,Gragas,5,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,BLUE,T1,K'Sante,1,3,3,1.0,3,3,1.0,3,3,1.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,BLUE,T1,Varus,2,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,BLUE,T1,Renata Glasc,3,2,2,1.0,2,2,1.0,2,2,1.0,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,BLUE,T1,Viktor,4,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,BLUE,T1,Xin Zhao,5,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,RED,Dplus Kia,Rumble,1,2,0,0.0,2,0,0.0,2,0,0.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,RED,Dplus Kia,Wukong,2,3,3,1.0,3,3,1.0,3,3,1.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,RED,Dplus Kia,Corki,3,3,0,0.0,3,0,0.0,3,0,0.0,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,RED,Dplus Kia,Rakan,4,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185042,2,2025,2025-01-16 11:55:28+00:00,15.01,RED,Dplus Kia,Xerath,5,0,0,,0,0,,0,0,,0,0,,0
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185067,3,2025,2025-01-16 12:50:03+00:00,15.01,BLUE,Dplus Kia,Vi,1,0,0,,0,0,,0,0,,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185067,3,2025,2025-01-16 12:50:03+00:00,15.01,BLUE,Dplus Kia,Ahri,2,0,0,,0,0,,0,0,,0,0,,1
2025_20250116_Dplus_Kia_vs_T1_S1,LOLTMNT03_185067,3,2025,2025-01-16 12:50:03+00:00,15.01,BLUE,Dplus Kia,Jinx,3,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
